
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
61,ChrisCarr,SG,23,MIN,51,1165,11.6,.509,.281,.219,4.2,10.8,7.6,11.6,0.8,0.7,12.2,21.5,0.0,0.7,0.4,1.1,.046,0.0,-0.7,-2.5,-3.2,-0.3
62,SamCassell,PG,28,NJN,75,2606,21.0,.533,.069,.439,3.0,7.4,5.1,40.4,2.4,0.6,16.3,27.5,0.0,6.6,1.7,8.3,.152,0.0,4.1,-1.5,2.6,3.0
63,KelvinCato,C,23,POR,74,1007,13.3,.496,.013,.546,10.9,17.9,14.6,3.6,1.5,6.8,13.4,14.7,0.0,0.7,2.0,2.7,.129,0.0,-3.5,3.2,-0.3,0.4
64,DuaneCauswell,C,29,MIA,37,363,9.2,.443,.000,.292,9.7,21.9,16.0,2.2,1.1,5.4,15.2,15.2,0.0,-0.2,0.7,0.5,.069,0.0,-6.2,1.6,-4.6,-0.2
65,CedricCeballos,SF,28,TOT,47,990,19.3,.560,.169,.349,8.8,16.8,12.8,11.0,1.8,1.1,13.1,25.3,0.0,1.6,1.2,2.8,.138,0.0,1.0,-1.0,0.0,0.5
65,CedricCeballos,SF,28,PHO,35,626,19.2,.564,.194,.326,9.8,17.8,13.9,9.6,1.8,0.9,11.7,24.2,0.0,1.2,0.9,2.1,.163,0.0,1.3,-0.8,0.5,0.4
65,CedricCeballos,SF,28,DAL,12,364,19.4,.552,.127,.389,7.2,15.0,11.0,13.3,1.6,1.5,15.2,27.3,0.0,0.4,0.3,0.7,.094,0.0,0.4,-1.4,-1.0,0.1
66,TomChambers,PF,38,PHI,1,10,31.5,1.042,.000,1.000,0.0,23.2,11.5,0.0,10.6,0.0,25.8,17.4,0.0,0.0,0.0,0.1,.369,0.0,3.1,3.1,6.2,0.0
67,RexChapman,SG,30,PHO,68,2263,14.4,.521,.325,.196,1.6,7.2,4.5,14.8,1.6,0.4,10.0,23.1,0.0,2.4,2.1,4.5,.095,0.0,1.0,-1.5,-0.5,0.8
68,CalbertCheaney,SG,26,WAS,82,2841,11.7,.488,.054,.219,3.2,10.0,6.5,9.8,1.8,0.9,8.8,18.4,0.0,1.6,2.5,4.1,.069,0.0,-1.5,0.1,-1.3,0.5
69,PeteChilcutt,PF,29,VAN,82,1420,12.6,.526,.362,.164,6.3,18.5,12.4,11.3,1.9,1.8,13.9,14.0,0.0,1.2,0.8,2.0,.067,0.0,-0.4,0.0,-0.5,0.5
70,ChrisChilds,PG,30,NYK,68,1599,11.6,.524,.246,.356,2.2,10.0,6.1,26.6,1.9,0.3,20.1,15.0,0.0,1.4,2.3,3.7,.110,0.0,-1.1,0.6,-0.6,0.6
71,DougChristie,SG,27,TOR,78,2939,16.2,.530,.287,.305,3.5,12.3,7.7,16.3,3.4,1.3,15.8,21.5,0.0,2.4,1.6,4.0,.066,0.0,1.2,-0.3,0.8,2.1
72,KeithCloss,C,21,LAC,58,740,14.0,.482,.000,.372,9.6,16.3,12.9,4.2,0.8,7.3,13.6,16.7,0.0,0.1,0.5,0.6,.041,0.0,-4.2,1.0,-3.3,-0.2
73,DerrickColeman,PF,30,PHI,59,2135,17.5,.500,.113,.451,8.0,23.8,15.8,12.3,1.1,2.4,13.1,25.2,0.0,1.8,2.7,4.4,.100,0.0,-0.6,0.4,-0.2,1.0
74,BimboColes,PG,29,GSW,53,1471,10.4,.444,.130,.201,1.2,7.9,4.5,27.9,1.8,0.6,15.7,16.8,0.0,-0.1,1.0,0.9,.029,0.0,-2.7,-1.1,-3.8,-0.7
75,JamesCollins,SG,24,LAC,23,103,15.3,.482,.364,.255,7.7,7.8,7.7,5.4,3.0,1.9,11.6,29.8,0.0,0.0,0.0,0.0,.008,0.0,-1.1,-4.2,-5.2,-0.1
76,MartyConlon,C,30,MIA,18,209,17.2,.541,.000,.710,9.3,16.3,12.9,9.8,2.4,1.7,11.9,20.6,0.0,0.4,0.4,0.8,.177,0.0,-0.9,0.9,0.0,0.1
77,TyroneCorbin,SF,35,ATL,79,2699,12.0,.502,.189,.171,3.5,12.0,7.9,10.6,2.1,0.2,9.7,15.3,0.0,2.9,2.7,5.5,.098,0.0,0.2,0.5,0.7,1.8
78,JamesCotton,SG,22,SEA,9,33,12.5,.481,.190,.429,7.4,14.2,10.9,0.0,1.6,2.3,19.4,43.5,0.0,-0.1,0.0,-0.1,-0.104,0.0,-11.2,-9.3,-20.5,-0.2
79,ChrisCrawford,PF,22,ATL,40,256,20.4,.536,.027,.618,9.5,9.3,9.4,6.4,2.6,1.9,11.4,28.6,0.0,0.6,0.3,0.9,.170,0.0,-0.4,-2.5,-2.9,-0.1
80,AustinCroshere,PF,22,IND,26,243,7.7,.412,.151,.163,5.2,16.5,11.1,5.4,2.0,1.5,12.4,20.6,0.0,-0.4,0.4,0.0,.003,0.0,-5.4,0.2,-5.2,-0.2
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
81,JohnCrotty,PG,28,POR,26,379,7.0,.457,.222,.378,1.3,8.3,4.9,25.5,1.4,0.2,28.6,17.6,0.0,-0.4,0.3,-0.1,-0.013,0.0,-5.4,-1.8,-7.2,-0.5
82,TerryCummings,PF,36,TOT,74,1185,13.7,.496,.002,.229,9.5,18.6,14.0,7.3,1.7,0.6,9.8,20.2,0.0,0.9,1.6,2.6,.103,0.0,-2.0,-0.6,-2.7,-0.2
